,w,k,covg,min_cluster_size,max_cluster_distance,num_cluster_tp,num_cluster_fp,num_gene_tp,num_gene_fp,num_non_unique_entries
112,6,15,30,10,20,2209,0,4902,3,246
113,6,15,30,10,30,2469,0,4969,2,315
114,6,15,30,10,40,2589,0,4985,1,364
115,6,15,30,10,80,2647,1,4984,1,398
116,6,15,30,10,160,2645,1,4967,0,421
117,6,15,30,10,250,2645,1,4970,0,426
118,6,15,30,10,320,2640,1,4971,0,434
119,6,15,30,15,20,1630,0,4764,2,174
120,6,15,30,15,30,2028,0,4888,1,261
121,6,15,30,15,40,2182,0,4943,1,272
122,6,15,30,15,80,2266,1,4946,1,314
123,6,15,30,15,160,2262,1,4937,0,336
124,6,15,30,15,250,2261,1,4934,0,340
125,6,15,30,15,320,2257,1,4935,0,340
126,6,15,60,5,20,3130,2,5098,8,475
127,6,15,60,5,30,3241,3,5116,7,505
128,6,15,60,5,40,3258,2,5085,5,538
129,6,15,60,5,80,3208,1,5040,3,564
130,6,15,60,5,160,3185,2,5024,2,552
131,6,15,60,5,250,3187,1,5025,2,565
132,6,15,60,5,320,3180,1,5022,2,571
133,6,15,60,10,20,2477,0,4989,8,330
134,6,15,60,10,30,2683,0,5028,7,391
135,6,15,60,10,40,2761,0,5029,5,415
136,6,15,60,10,80,2774,0,5003,3,472
137,6,15,60,10,160,2778,2,4992,2,467
138,6,15,60,10,250,2779,1,4992,2,474
139,6,15,60,10,320,2770,1,4990,2,482
140,6,15,60,15,20,1896,0,4873,6,216
141,6,15,60,15,30,2214,0,4952,5,298
142,6,15,60,15,40,2329,0,4977,4,333
143,6,15,60,15,80,2396,0,4966,2,348
144,6,15,60,15,160,2393,2,4960,2,365
145,6,15,60,15,250,2385,1,4957,2,380
146,6,15,60,15,320,2381,1,4956,2,394
147,6,15,100,5,20,3162,2,5114,8,519
148,6,15,100,5,30,3283,3,5128,6,534
149,6,15,100,5,40,3304,3,5099,5,545
150,6,15,100,5,80,3255,0,5046,4,539
151,6,15,100,5,160,3222,1,5027,4,543
152,6,15,100,5,250,3222,0,5030,3,555
153,6,15,100,5,320,3217,0,5026,3,561
154,6,15,100,10,20,2552,1,5003,7,339
155,6,15,100,10,30,2732,1,5033,5,421
156,6,15,100,10,40,2809,1,5032,5,445
157,6,15,100,10,80,2803,0,5010,4,476
158,6,15,100,10,160,2808,1,4990,4,467
159,6,15,100,10,250,2807,0,4992,3,479
160,6,15,100,10,320,2801,0,4989,3,482
161,6,15,100,15,20,1951,1,4884,6,250
162,6,15,100,15,30,2268,1,4972,5,302
163,6,15,100,15,40,2364,1,4980,5,358
164,6,15,100,15,80,2404,0,4975,3,379
165,6,15,100,15,160,2412,0,4959,3,376
166,6,15,100,15,250,2414,0,4961,2,388
167,6,15,100,15,320,2413,0,4960,2,402
168,6,19,15,5,20,3445,7,5399,47,964
169,6,19,15,5,30,3492,6,5392,43,1013
170,6,19,15,5,40,3529,6,5374,42,958
171,6,19,15,5,80,3452,6,5304,24,930
172,6,19,15,5,160,3394,7,5221,20,936
173,6,19,15,5,250,3378,7,5206,19,955
174,6,19,15,5,320,3385,7,5205,16,951
175,6,19,15,10,20,2634,2,5171,18,627
176,6,19,15,10,30,2782,2,5214,16,703
177,6,19,15,10,40,2845,3,5209,16,671
178,6,19,15,10,80,2861,2,5176,11,685
179,6,19,15,10,160,2838,2,5112,7,698
180,6,19,15,10,250,2837,2,5099,7,716
181,6,19,15,10,320,2828,2,5099,6,723
182,6,19,15,15,20,1996,2,4996,9,419
183,6,19,15,15,30,2239,2,5064,7,511
184,6,19,15,15,40,2340,3,5077,7,509
185,6,19,15,15,80,2402,2,5067,5,549
186,6,19,15,15,160,2404,2,5019,2,552
187,6,19,15,15,250,2391,2,5013,1,565
188,6,19,15,15,320,2392,2,5014,1,575
189,6,19,30,5,20,2499,3,4957,3,274
190,6,19,30,5,30,2665,2,4989,1,303
191,6,19,30,5,40,2761,2,4994,1,304
192,6,19,30,5,80,2835,2,4969,1,353
193,6,19,30,5,160,2832,2,4960,1,366
194,6,19,30,5,250,2826,2,4957,0,380
195,6,19,30,5,320,2824,2,4962,0,383
196,6,19,30,10,20,1652,1,4803,0,167
197,6,19,30,10,30,2045,1,4890,1,222
198,6,19,30,10,40,2206,1,4914,1,227
199,6,19,30,10,80,2342,1,4925,1,287
200,6,19,30,10,160,2357,1,4920,1,314
201,6,19,30,10,250,2354,1,4920,0,327
202,6,19,30,10,320,2354,1,4918,0,329
203,6,19,30,15,20,963,1,4449,0,113
204,6,19,30,15,30,1547,1,4772,0,173
205,6,19,30,15,40,1779,1,4833,0,190
206,6,19,30,15,80,1966,1,4872,1,231
207,6,19,30,15,160,1976,1,4868,1,251
208,6,19,30,15,250,1970,1,4868,0,263
209,6,19,30,15,320,1974,1,4866,0,261
210,6,19,60,5,20,2813,3,5063,4,381
211,6,19,60,5,30,2940,3,5072,6,402
212,6,19,60,5,40,2999,2,5071,5,415
213,6,19,60,5,80,3028,2,5013,1,436
214,6,19,60,5,160,3020,2,5000,0,447
215,6,19,60,5,250,3003,2,4995,0,471
216,6,19,60,5,320,2998,2,4994,0,468
217,6,19,60,10,20,1961,1,4913,3,212
218,6,19,60,10,30,2282,1,4963,3,278
219,6,19,60,10,40,2428,1,4978,1,290
220,6,19,60,10,80,2523,1,4966,1,329
221,6,19,60,10,160,2513,1,4953,0,356
222,6,19,60,10,250,2524,1,4956,0,341
223,6,19,60,10,320,2509,1,4949,0,355
224,6,19,60,15,20,1239,1,4658,1,142
225,6,19,60,15,30,1794,1,4845,2,196
226,6,19,60,15,40,1963,1,4892,0,203
227,6,19,60,15,80,2092,1,4916,0,249
228,6,19,60,15,160,2113,1,4905,0,275
229,6,19,60,15,250,2112,1,4906,0,277
230,6,19,60,15,320,2111,1,4907,0,275
231,6,19,100,5,20,2876,3,5070,5,420
232,6,19,100,5,30,3004,3,5083,5,434
233,6,19,100,5,40,3043,3,5072,3,449
234,6,19,100,5,80,3082,2,5019,1,455
235,6,19,100,5,160,3056,2,4992,1,488
236,6,19,100,5,250,3066,2,4988,0,480
237,6,19,100,5,320,3062,2,4991,0,476
238,6,19,100,10,20,2053,1,4933,3,237
239,6,19,100,10,30,2358,1,4984,3,289
240,6,19,100,10,40,2474,1,5000,3,304
241,6,19,100,10,80,2561,1,4966,0,343
242,6,19,100,10,160,2564,1,4954,0,363
243,6,19,100,10,250,2579,1,4950,0,344
244,6,19,100,10,320,2575,1,4951,0,352
245,6,19,100,15,20,1337,1,4713,1,139
246,6,19,100,15,30,1851,1,4863,1,208
247,6,19,100,15,40,2023,1,4906,1,209
248,6,19,100,15,80,2143,1,4915,0,273
